person activity tbody_acceleration_meanx tbody_acceleration_meany tbody_acceleration_meanz tbody_acceleration_stdx tbody_acceleration_stdy tbody_acceleration_stdz tgravity_acceleration_meanx tgravity_acceleration_meany tgravity_acceleration_meanz tgravity_acceleration_stdx tgravity_acceleration_stdy tgravity_acceleration_stdz tbody_acceleration_jerk_signal_meanx tbody_acceleration_jerk_signal_meany tbody_acceleration_jerk_signal_meanz tbody_acceleration_jerk_signal_stdx tbody_acceleration_jerk_signal_stdy tbody_acceleration_jerk_signal_stdz tbody_gyro_angular_velocity_meanx tbody_gyro_angular_velocity_meany tbody_gyro_angular_velocity_meanz tbody_gyro_angular_velocity_stdx tbody_gyro_angular_velocity_stdy tbody_gyro_angular_velocity_stdz tbody_gyro_angular_velocity_jerk_signal_meanx tbody_gyro_angular_velocity_jerk_signal_meany tbody_gyro_angular_velocity_jerk_signal_meanz tbody_gyro_angular_velocity_jerk_signal_stdx tbody_gyro_angular_velocity_jerk_signal_stdy tbody_gyro_angular_velocity_jerk_signal_stdz tbody_acceleration_magnitude_mean tbody_acceleration_magnitude_std tgravity_acceleration_magnitude_mean tgravity_acceleration_magnitude_std tbody_acceleration_jerk_signal_magnitude_mean tbody_acceleration_jerk_signal_magnitude_std tbody_gyro_angular_velocity_magnitude_mean tbody_gyro_angular_velocity_magnitude_std tbody_gyro_angular_velocity_jerk_signal_magnitude_mean tbody_gyro_angular_velocity_jerk_signal_magnitude_std fbody_acceleration_meanx fbody_acceleration_meany fbody_acceleration_meanz fbody_acceleration_stdx fbody_acceleration_stdy fbody_acceleration_stdz fbody_acceleration_jerk_signal_meanx fbody_acceleration_jerk_signal_meany fbody_acceleration_jerk_signal_meanz fbody_acceleration_jerk_signal_stdx fbody_acceleration_jerk_signal_stdy fbody_acceleration_jerk_signal_stdz fbody_gyro_angular_velocity_meanx fbody_gyro_angular_velocity_meany fbody_gyro_angular_velocity_meanz fbody_gyro_angular_velocity_stdx fbody_gyro_angular_velocity_stdy fbody_gyro_angular_velocity_stdz fbody_acceleration_magnitude_mean fbody_acceleration_magnitude_std fbody_bodyacceleration_jerk_signal_magnitude_mean fbody_bodyacceleration_jerk_signal_magnitude_std fbody_bodygyro_angular_velocity_magnitude_mean fbody_bodygyro_angular_velocity_magnitude_std fbody_bodygyro_angular_velocity_jerk_signal_magnitude_mean fbody_bodygyro_angular_velocity_jerk_signal_magnitude_std
1 LAYING 2.2159824e-01 -4.0513953e-02 -1.1320355e-01 -9.2805647e-01 -8.3682741e-01 -8.2606140e-01 -2.4888180e-01 7.0554977e-01 4.4581772e-01 -8.9683002e-01 -9.0772001e-01 -8.5236629e-01 8.1086534e-02 3.8382040e-03 1.0834236e-02 -9.5848211e-01 -9.2414927e-01 -9.5485511e-01 -1.6553094e-02 -6.4486124e-02 1.4868944e-01 -8.7354387e-01 -9.5109044e-01 -9.0828466e-01 -1.0727095e-01 -4.1517287e-02 -7.4050121e-02 -9.1860852e-01 -9.6790724e-01 -9.5779016e-01 -8.4192915e-01 -7.9514486e-01 -8.4192915e-01 -7.9514486e-01 -9.5439626e-01 -9.2824563e-01 -8.7475955e-01 -8.1901017e-01 -9.6346103e-01 -9.3584098e-01 -9.3909905e-01 -8.6706521e-01 -8.8266688e-01 -9.2443743e-01 -8.3362556e-01 -8.1289156e-01 -9.5707388e-01 -9.2246261e-01 -9.4806090e-01 -9.6416071e-01 -9.3221787e-01 -9.6058699e-01 -8.5024917e-01 -9.5219149e-01 -9.0930272e-01 -8.8229645e-01 -9.5123205e-01 -9.1658251e-01 -8.6176765e-01 -7.9830094e-01 -9.3330036e-01 -9.2180398e-01 -8.6219019e-01 -8.2431944e-01 -9.4236695e-01 -9.3266067e-01
1 SITTING 2.6123757e-01 -1.3082877e-03 -1.0454418e-01 -9.7722901e-01 -9.2261864e-01 -9.3958629e-01 8.3150993e-01 2.0441159e-01 3.3204370e-01 -9.6845715e-01 -9.3551706e-01 -9.4904093e-01 7.7482520e-02 -6.1910279e-04 -3.3677924e-03 -9.8643071e-01 -9.8137197e-01 -9.8791080e-01 -4.5350057e-02 -9.1924155e-02 6.2931381e-02 -9.7721128e-01 -9.6647390e-01 -9.4142592e-01 -9.3679381e-02 -4.0211812e-02 -4.6702627e-02 -9.9173159e-01 -9.8951807e-01 -9.8793581e-01 -9.4853679e-01 -9.2707842e-01 -9.4853679e-01 -9.2707842e-01 -9.8736420e-01 -9.8412002e-01 -9.3089249e-01 -9.3453184e-01 -9.9197634e-01 -9.8830873e-01 -9.7964124e-01 -9.4408455e-01 -9.5918489e-01 -9.7641231e-01 -9.1727501e-01 -9.3446956e-01 -9.8659702e-01 -9.8157947e-01 -9.8605309e-01 -9.8749299e-01 -9.8251391e-01 -9.8833918e-01 -9.7616146e-01 -9.7583859e-01 -9.5131554e-01 -9.7790423e-01 -9.6234504e-01 -9.4391784e-01 -9.4778292e-01 -9.2844480e-01 -9.8526213e-01 -9.8160618e-01 -9.5843559e-01 -9.3219837e-01 -9.8979755e-01 -9.8704962e-01
1 STANDING 2.7891763e-01 -1.6137590e-02 -1.1060182e-01 -9.9575990e-01 -9.7319006e-01 -9.7977588e-01 9.4295200e-01 -2.7298383e-01 1.3490582e-02 -9.9376299e-01 -9.8122596e-01 -9.7632406e-01 7.5376654e-02 7.9757309e-03 -3.6852495e-03 -9.9460454e-01 -9.8564873e-01 -9.9225118e-01 -2.3987735e-02 -5.9397221e-02 7.4800751e-02 -9.8719195e-01 -9.8773444e-01 -9.8064563e-01 -9.9609213e-02 -4.4062788e-02 -4.8950547e-02 -9.9294511e-01 -9.9513792e-01 -9.9210847e-01 -9.8427821e-01 -9.8194293e-01 -9.8427821e-01 -9.8194293e-01 -9.9236779e-01 -9.9309621e-01 -9.7649379e-01 -9.7869003e-01 -9.9496679e-01 -9.9473324e-01 -9.9524993e-01 -9.7707085e-01 -9.8529710e-01 -9.9602835e-01 -9.7229310e-01 -9.7793726e-01 -9.9463080e-01 -9.8541870e-01 -9.9075217e-01 -9.9507376e-01 -9.8701823e-01 -9.9234982e-01 -9.8638679e-01 -9.8898446e-01 -9.8077312e-01 -9.8749713e-01 -9.8710773e-01 -9.8234533e-01 -9.8535636e-01 -9.8231380e-01 -9.9254248e-01 -9.9253600e-01 -9.8461762e-01 -9.7846607e-01 -9.9481538e-01 -9.9467112e-01
1 WALKING 2.7733076e-01 -1.7383819e-02 -1.1114810e-01 -2.8374026e-01 1.1446134e-01 -2.6002790e-01 9.3522320e-01 -2.8216502e-01 -6.8102864e-02 -9.7660964e-01 -9.7130596e-01 -9.4771723e-01 7.4041633e-02 2.8272110e-02 -4.1684062e-03 -1.1361560e-01 6.7002501e-02 -5.0269979e-01 -4.1830964e-02 -6.9530046e-02 8.4944817e-02 -4.7353549e-01 -5.4607769e-02 -3.4426663e-01 -8.9997542e-02 -3.9842871e-02 -4.6130930e-02 -2.0742185e-01 -3.0446851e-01 -4.0425545e-01 -1.3697118e-01 -2.1968865e-01 -1.3697118e-01 -2.1968865e-01 -1.4142881e-01 -7.4471750e-02 -1.6097955e-01 -1.8697836e-01 -2.9870368e-01 -3.2532488e-01 -2.0279431e-01 8.9712726e-02 -3.3156012e-01 -3.1913472e-01 5.6040007e-02 -2.7968675e-01 -1.7054696e-01 -3.5225524e-02 -4.6899922e-01 -1.3358661e-01 1.0673986e-01 -5.3471344e-01 -3.3903220e-01 -1.0305942e-01 -2.5594094e-01 -5.1669194e-01 -3.3508160e-02 -4.3656223e-01 -1.2862345e-01 -3.9803259e-01 -5.7119400e-02 -1.0349240e-01 -1.9925257e-01 -3.2101795e-01 -3.1930859e-01 -3.8160191e-01
1 WALKING_DOWNSTAIRS 2.8918832e-01 -9.9185046e-03 -1.0756619e-01 3.0035338e-02 -3.1935943e-02 -2.3043421e-01 9.3187442e-01 -2.6661034e-01 -6.2119959e-02 -9.5055981e-01 -9.3701866e-01 -8.9593970e-01 5.4155316e-02 2.9650449e-02 -1.0971973e-02 -1.2283861e-02 -1.0160139e-01 -3.4573503e-01 -3.5078190e-02 -9.0937129e-02 9.0085014e-02 -4.5803054e-01 -1.2634919e-01 -1.2470245e-01 -7.3959204e-02 -4.3990278e-02 -2.7046106e-02 -4.8702734e-01 -2.3882483e-01 -2.6876148e-01 2.7188291e-02 1.9884351e-02 2.7188291e-02 1.9884351e-02 -8.9447481e-02 -2.5787720e-02 -7.5741254e-02 -2.2572437e-01 -2.9546384e-01 -3.0651065e-01 3.8229183e-02 1.5499078e-03 -2.2557447e-01 2.4330839e-02 -1.1296374e-01 -2.9792789e-01 -2.7663868e-02 -1.2866716e-01 -2.8833474e-01 -8.6327897e-02 -1.3458001e-01 -4.0172146e-01 -3.5244963e-01 -5.5702252e-02 -3.1869427e-02 -4.9542249e-01 -1.8141473e-01 -2.3844357e-01 9.6584534e-02 -1.8653030e-01 2.6218495e-02 -1.0405226e-01 -1.8572029e-01 -3.9835039e-01 -2.8196336e-01 -3.9191988e-01
1 WALKING_UPSTAIRS 2.5546169e-01 -2.3953149e-02 -9.7302002e-02 -3.5470803e-01 -2.3202650e-03 -1.9479239e-02 8.9335110e-01 -3.6215336e-01 -7.5402940e-02 -9.5636703e-01 -9.5284923e-01 -9.1237941e-01 1.0137273e-01 1.9486308e-02 -4.5562545e-02 -4.4684389e-01 -3.7827443e-01 -7.0659353e-01 5.0549380e-02 -1.6617002e-01 5.8359546e-02 -5.4487110e-01 4.1051838e-03 -5.0716867e-01 -1.2223277e-01 -4.2148588e-02 -4.0712553e-02 -6.1478651e-01 -6.0169666e-01 -6.0633200e-01 -1.2992763e-01 -3.2497093e-01 -1.2992763e-01 -3.2497093e-01 -4.6650345e-01 -4.7899162e-01 -1.2673559e-01 -1.4861932e-01 -5.9488287e-01 -6.4855304e-01 -4.0432178e-01 -1.9097672e-01 -4.3334970e-01 -3.3742819e-01 2.1769511e-02 8.5956554e-02 -4.7987525e-01 -4.1344459e-01 -6.8547435e-01 -4.6190703e-01 -3.8177707e-01 -7.2604020e-01 -4.9261167e-01 -3.1947461e-01 -4.5359721e-01 -5.6589249e-01 1.5153891e-01 -5.7170784e-01 -3.5239594e-01 -4.1626010e-01 -4.4265216e-01 -5.3305985e-01 -3.2596146e-01 -1.8298552e-01 -6.3466508e-01 -6.9393052e-01
2 LAYING 2.8137340e-01 -1.8158740e-02 -1.0724561e-01 -9.7405946e-01 -9.8027740e-01 -9.8423330e-01 -5.0975424e-01 7.5253664e-01 6.4683488e-01 -9.5901444e-01 -9.8821187e-01 -9.8423042e-01 8.2597251e-02 1.2254788e-02 -1.8026490e-03 -9.8587217e-01 -9.8317254e-01 -9.8844201e-01 -1.8476607e-02 -1.1180082e-01 1.4488285e-01 -9.8827523e-01 -9.8229161e-01 -9.6030656e-01 -1.0197413e-01 -3.5859018e-02 -7.0178302e-02 -9.9323585e-01 -9.8956754e-01 -9.8803582e-01 -9.7743549e-01 -9.7287391e-01 -9.7743549e-01 -9.7287391e-01 -9.8774170e-01 -9.8551808e-01 -9.5001157e-01 -9.6116405e-01 -9.9176707e-01 -9.8971810e-01 -9.7672506e-01 -9.7980088e-01 -9.8438098e-01 -9.7324648e-01 -9.8102511e-01 -9.8479218e-01 -9.8581363e-01 -9.8276825e-01 -9.8619713e-01 -9.8725026e-01 -9.8498739e-01 -9.8934537e-01 -9.8643114e-01 -9.8332164e-01 -9.6267189e-01 -9.8886069e-01 -9.8191062e-01 -9.6317422e-01 -9.7511020e-01 -9.7512139e-01 -9.8537411e-01 -9.8456849e-01 -9.7211297e-01 -9.6109838e-01 -9.9024870e-01 -9.8949266e-01
2 SITTING 2.7708735e-01 -1.5687994e-02 -1.0921827e-01 -9.8682228e-01 -9.5070450e-01 -9.5982817e-01 9.4047727e-01 -1.0563002e-01 1.9872677e-01 -9.7998876e-01 -9.5675027e-01 -9.5441587e-01 7.2256439e-02 1.1695451e-02 7.6054693e-03 -9.8805585e-01 -9.7798396e-01 -9.8751821e-01 -4.5470662e-02 -5.9928680e-02 4.1227746e-02 -9.8574203e-01 -9.7891953e-01 -9.5980371e-01 -9.3632841e-02 -4.1560203e-02 -4.3585097e-02 -9.8970902e-01 -9.9088961e-01 -9.8554233e-01 -9.6789362e-01 -9.5308144e-01 -9.6789362e-01 -9.5308144e-01 -9.8677471e-01 -9.8447587e-01 -9.4603509e-01 -9.6131362e-01 -9.9108149e-01 -9.8959492e-01 -9.8580384e-01 -9.5734350e-01 -9.7016217e-01 -9.8736209e-01 -9.5007375e-01 -9.5686286e-01 -9.8784879e-01 -9.7713970e-01 -9.8512905e-01 -9.8945911e-01 -9.8080423e-01 -9.8857080e-01 -9.8262139e-01 -9.8210092e-01 -9.5981482e-01 -9.8680850e-01 -9.7735619e-01 -9.6352266e-01 -9.6127375e-01 -9.5557560e-01 -9.8387470e-01 -9.8412419e-01 -9.7184060e-01 -9.6138575e-01 -9.8986195e-01 -9.8963291e-01
2 STANDING 2.7791147e-01 -1.8420827e-02 -1.0590854e-01 -9.8727189e-01 -9.5730499e-01 -9.4974185e-01 8.9692857e-01 -3.7006270e-01 1.2974716e-01 -9.8668582e-01 -9.7419442e-01 -9.4592708e-01 7.4758860e-02 1.0329177e-02 -8.3715885e-03 -9.8108572e-01 -9.7105944e-01 -9.8284145e-01 -2.3862388e-02 -8.2039658e-02 8.7835170e-02 -9.7299863e-01 -9.7144200e-01 -9.6485670e-01 -1.0556216e-01 -4.2241954e-02 -5.4653948e-02 -9.7932400e-01 -9.8344726e-01 -9.7361012e-01 -9.6587518e-01 -9.5787497e-01 -9.6587518e-01 -9.5787497e-01 -9.8048908e-01 -9.7667528e-01 -9.6346634e-01 -9.5394338e-01 -9.8395190e-01 -9.7720443e-01 -9.8394674e-01 -9.5987170e-01 -9.6247120e-01 -9.8905647e-01 -9.5790884e-01 -9.4643358e-01 -9.8097324e-01 -9.7085134e-01 -9.7977515e-01 -9.8300792e-01 -9.7352024e-01 -9.8459991e-01 -9.6703711e-01 -9.7257615e-01 -9.6062770e-01 -9.7498812e-01 -9.7103605e-01 -9.6975430e-01 -9.6405217e-01 -9.6051938e-01 -9.7706530e-01 -9.7516046e-01 -9.6177590e-01 -9.5678873e-01 -9.7784983e-01 -9.7775430e-01
2 WALKING 2.7642659e-01 -1.8594920e-02 -1.0550036e-01 -4.2364284e-01 -7.8091253e-02 -4.2525752e-01 9.1301733e-01 -3.4660709e-01 8.4727087e-02 -9.7269320e-01 -9.7211688e-01 -9.7207285e-01 6.1808070e-02 1.8249268e-02 7.8953371e-03 -2.7753046e-01 -1.6602236e-02 -5.8609042e-01 -5.3025816e-02 -4.8238232e-02 8.2833663e-02 -5.6155026e-01 -5.3845367e-01 -4.8108554e-01 -8.1883343e-02 -5.3829945e-02 -5.1493916e-02 -3.8954983e-01 -6.3414044e-01 -4.3549268e-01 -2.9040759e-01 -4.2254417e-01 -2.9040759e-01 -4.2254417e-01 -2.8142415e-01 -1.6415099e-01 -4.4654909e-01 -5.5301992e-01 -5.4791195e-01 -5.5779815e-01 -3.4604816e-01 -2.1904810e-02 -4.5380637e-01 -4.5765138e-01 -1.6921969e-01 -4.5522215e-01 -3.0461532e-01 -7.8764084e-02 -5.5495671e-01 -3.1431306e-01 -1.5332952e-02 -6.1589819e-01 -4.2971354e-01 -5.5477211e-01 -3.9665991e-01 -6.0405302e-01 -5.3304695e-01 -5.5985664e-01 -3.2428943e-01 -5.7710521e-01 -1.6906435e-01 -1.6409197e-01 -5.3070481e-01 -6.5179284e-01 -5.8324929e-01 -5.5810455e-01
2 WALKING_DOWNSTAIRS 2.7761535e-01 -2.2661416e-02 -1.1681294e-01 4.6366681e-02 2.6288179e-01 -1.0283791e-01 8.6183135e-01 -3.2578010e-01 -4.3889016e-02 -9.4036176e-01 -9.4006853e-01 -9.3143831e-01 1.1004062e-01 -3.2795908e-03 -2.0935168e-02 1.4724914e-01 1.2682801e-01 -3.4012202e-01 -1.1594735e-01 -4.8232923e-03 9.7173809e-02 -3.2078923e-01 -4.1573914e-01 -2.7941839e-01 -5.8103850e-02 -4.2147026e-02 -7.1022982e-02 -2.4394059e-01 -4.6939670e-01 -2.1826632e-01 8.9951120e-02 2.1558633e-01 8.9951120e-02 2.1558633e-01 5.6551634e-03 2.2961719e-01 -1.6218859e-01 -2.7484411e-01 -4.1087267e-01 -3.4318788e-01 1.1284116e-01 2.7834504e-01 -1.3129077e-01 1.6104620e-02 1.7197397e-01 -1.6203289e-01 1.3812068e-01 9.6209161e-02 -2.7149872e-01 4.9959062e-02 8.0833349e-02 -4.0822742e-01 -1.4577597e-01 -3.6191382e-01 -8.7494474e-02 -3.7943667e-01 -4.5873275e-01 -4.2298767e-01 2.9342483e-01 -2.1478788e-02 2.2224741e-01 2.2748073e-01 -3.2083854e-01 -3.7257676e-01 -3.8017531e-01 -3.4369899e-01
